CITY,TEAM,LEAGUE,YEAR,HOME_GMS,HOME_AVG,HOME_PCT,ROAD_GMS,ROAD_AVG,ROAD_PCT,OVR_GMS,OVR_AVG,OVR_PCT
Seattle,Seahawks,NFL,2011,8,"66,413",99.1,8,"67,455",96.2,16,"66,934",97.6
Cleveland,Browns,NFL,2011,8,"65,859",90,8,"63,014",94.7,16,"64,437",92.2
Los Angeles,Rams,NFL,2011,8,"65,392",91.7,8,"67,718",96.7,16,"66,555",94.2
Indianapolis,Colts,NFL,2011,8,"64,828",102.9,8,"66,507",96.5,16,"65,668",99.6
Detroit,Lions,NFL,2011,8,"63,742",98.8,8,"66,455",95.6,16,"65,098",97.1
Pittsburgh,Steelers,NFL,2011,8,"63,034",97,8,"68,154",98.4,16,"65,594",97.7
Minneapolis,Vikings,NFL,2011,8,"62,816",98,8,"68,132",93.4,16,"65,474",95.5
Buffalo,Bills,NFL,2011,7,"62,694",85.8,8,"67,770",90.0,15,"65,402",88.0
Jacksonville,Jaguars,NFL,2011,8,"62,331",92.8,8,"68,875",96.8,16,"65,603",94.9
Chicago,Bears,NFL,2011,8,"62,145",101,7,"68,456",99.6,15,"65,090",100.3
Phoenix,AZ Cardinals,NFL,2011,8,"61,181",96.5,8,"64,026",91.1,16,"62,603",93.6
Miami,Dolphins,NFL,2011,8,"60,886",81,8,"72,161",94.9,16,"66,523",88.0
Oakland,Raiders,NFL,2011,8,"59,242",94,8,"68,086",93.8,16,"63,664",93.9
Tampa,Buccaneers,NFL,2011,7,"56,614",86.2,8,"68,246",97.2,15,"62,817",92.3
Los Angeles,Chargers,NFL,2011,8,"56,394",86.3,8,"68,862",95.9,16,"62,628",91.4
Cincinnati,Bengals,NFL,2011,8,"49,251",75.2,8,"66,124",95.5,16,"57,687",85.6
Dallas,Cowboys,NFL,2012,8,"88,531",110.7,8,"72,759",98.6,16,"80,645",104.9
New York,NY Giants,NFL,2012,8,"80,495",97.6,8,"73,245",99.1,16,"76,870",98.3
Washington,Redskins,NFL,2012,8,"79,654",86.9,8,"69,058",96.5,16,"74,356",91.1
New York,Jets,NFL,2012,8,"79,088",95.9,8,"63,702",92.5,16,"71,395",94.4
Denver,Broncos,NFL,2012,8,"76,632",100.7,8,"68,089",97.0,16,"72,361",98.9
Charlotte,Panthers,NFL,2012,8,"73,293",99.3,8,"65,263",90.2,16,"69,278",94.8
New Orleans,Saints,NFL,2012,8,"72,888",99.9,8,"72,573",99.2,16,"72,731",99.5
Houston,Texans,NFL,2012,8,"71,665",100.9,8,"68,831",99.6,16,"70,248",100.3
Baltimore,Ravens,NFL,2012,8,"71,278",100.4,8,"67,396",92.6,16,"69,337",96.5
Green Bay,Packers,NFL,2012,8,"70,507",96.7,8,"67,756",100.6,16,"69,131",98.5
Atlanta,Falcons,NFL,2012,8,"70,096",98.4,8,"67,703",92.7,16,"68,899",95.5
San Francisco,49ers,NFL,2012,8,"69,732",99.3,8,"67,131",96.4,16,"68,431",97.9
Philadelphia,Eagles,NFL,2012,8,"69,144",102.3,8,"71,717",96.5,16,"70,430",99.3
Nashville,Titans,NFL,2012,8,"69,143",100,8,"64,694",92.8,16,"66,918",96.4
Boston,Patriots,NFL,2012,8,"68,755",100,7,"71,526",99.1,15,"70,048",99.6
Kansas City,Chiefs,NFL,2012,8,"68,508",89.3,8,"61,496",87.8,16,"65,002",88.6
Seattle,Seahawks,NFL,2012,8,"67,946",101.4,7,"61,812",91.3,15,"65,083",96.7
Cleveland,Browns,NFL,2012,8,"66,632",91,8,"66,526",94.0,16,"66,579",92.5
Indianapolis,Colts,NFL,2012,8,"65,189",103.5,8,"67,640",96.4,16,"66,415",99.7
Jacksonville,Jaguars,NFL,2012,8,"64,984",96.8,8,"61,337",89.0,16,"63,160",92.8
Buffalo,Bills,NFL,2012,7,"64,950",88.9,8,"67,230",94.8,15,"66,166",92.0
Detroit,Lions,NFL,2012,8,"63,769",98.9,8,"66,036",98.6,16,"64,903",98.7
Chicago,Bears,NFL,2012,8,"62,329",101.3,8,"69,728",101.2,16,"66,028",101.2
Cincinnati,Bengals,NFL,2012,8,"61,188",93.4,8,"66,488",91.1,16,"63,838",92.2
Pittsburgh,Steelers,NFL,2012,8,"61,141",94.1,8,"73,679",101.5,16,"67,410",98.0
Phoenix,AZ Cardinals,NFL,2012,8,"60,890",96,8,"67,639",96.3,16,"64,265",96.2
Minneapolis,Vikings,NFL,2012,8,"60,725",94.7,8,"66,737",95.9,16,"63,731",95.3
Los Angeles,Rams,NFL,2012,8,"59,964",84.1,8,"67,793",94.3,16,"63,879",89.2
Miami,Dolphins,NFL,2012,8,"57,379",76.3,8,"68,260",97.9,16,"62,819",86.7
Los Angeles,Chargers,NFL,2012,7,"56,703",86.8,8,"61,862",91.6,15,"59,454",89.4
Tampa,Buccaneers,NFL,2012,8,"55,102",83.9,8,"70,454",96.6,16,"62,778",90.6
Oakland,Raiders,NFL,2012,8,"54,216",86,8,"67,812",93.4,16,"61,014",90.0
Dallas,Cowboys,NFL,2013,8,"88,043",110.1,8,"71,904",97.7,16,"79,973",104.1
New York,NY Giants,NFL,2013,8,"80,148",97.1,8,"71,043",96.8,16,"75,595",97.0
Green Bay,Packers,NFL,2013,8,"77,947",106.9,8,"70,953",101.5,16,"74,450",104.2
Washington,Redskins,NFL,2013,8,"77,220",84.2,8,"72,780",100.8,16,"75,000",91.5
New York,Jets,NFL,2013,8,"76,957",93.3,8,"69,181",97.5,16,"73,069",95.2
Denver,Broncos,NFL,2013,8,"76,872",101,8,"72,396",100.5,16,"74,634",100.7
Kansas City,Chiefs,NFL,2013,8,"75,359",98.2,8,"64,391",88.9,16,"69,875",93.7
Charlotte,Panthers,NFL,2013,8,"73,443",99.5,8,"65,585",94.4,16,"69,514",97.0
New Orleans,Saints,NFL,2013,8,"72,901",99.9,8,"67,502",97.2,16,"70,201",98.6
Houston,Texans,NFL,2013,8,"71,658",100.9,8,"66,301",96.1,16,"68,980",98.5
Cleveland,Browns,NFL,2013,8,"71,242",97.3,8,"69,101",97.6,16,"70,171",97.4
