,GeoName,IndustryClassification,Description,2017
1861,"Milwaukee-Waukesha-West Allis, WI",44-45,  Retail trade,5115.6
1862,"Milwaukee-Waukesha-West Allis, WI",48-49,  Transportation and warehousing,1844.7
1871,"Milwaukee-Waukesha-West Allis, WI",51,  Information,3056.1
1876,"Milwaukee-Waukesha-West Allis, WI","52, 53","  Finance, insurance, real estate, rental, and leasing",23133.5
1877,"Milwaukee-Waukesha-West Allis, WI",52,   Finance and insurance,8921.1
1882,"Milwaukee-Waukesha-West Allis, WI",53,   Real estate and rental and leasing,14017.4
1885,"Milwaukee-Waukesha-West Allis, WI","54, 55, 56",  Professional and business services,12170.8
1886,"Milwaukee-Waukesha-West Allis, WI",54,"   Professional, scientific, and technical services",5398.9
1887,"Milwaukee-Waukesha-West Allis, WI",55,   Management of companies and enterprises,3995.5
1888,"Milwaukee-Waukesha-West Allis, WI",56,   Administrative and support and waste management and remediation services,2785.4
1891,"Milwaukee-Waukesha-West Allis, WI","61, 62","  Educational services, health care, and social assistance",9904.3
1892,"Milwaukee-Waukesha-West Allis, WI",61,   Educational services,1573.7
1893,"Milwaukee-Waukesha-West Allis, WI",62,   Health care and social assistance,8344.7
1897,"Milwaukee-Waukesha-West Allis, WI","71, 72","  Arts, entertainment, recreation, accommodation, and food services",2522.2
1898,"Milwaukee-Waukesha-West Allis, WI",71,"   Arts, entertainment, and recreation",770.1
1901,"Milwaukee-Waukesha-West Allis, WI",72,   Accommodation and food services,1751.3
1904,"Milwaukee-Waukesha-West Allis, WI",81,  Other services (except government and government enterprises),1854.2
1909,"Milwaukee-Waukesha-West Allis, WI","11, 21",Natural resources and mining,238.1
1910,"Milwaukee-Waukesha-West Allis, WI","42, 44-45",Trade,11292.5
1916,"Minneapolis-St. Paul-Bloomington, MN-WI",11,"  Agriculture, forestry, fishing, and hunting",368.8
1919,"Minneapolis-St. Paul-Bloomington, MN-WI",21,"  Mining, quarrying, and oil and gas extraction",457.7
1923,"Minneapolis-St. Paul-Bloomington, MN-WI",22,  Utilities,3383.0
1924,"Minneapolis-St. Paul-Bloomington, MN-WI",23,  Construction,8113.9
1925,"Minneapolis-St. Paul-Bloomington, MN-WI",31-33,  Manufacturing,29628.3
1947,"Minneapolis-St. Paul-Bloomington, MN-WI",42,  Wholesale trade,16910.7
1948,"Minneapolis-St. Paul-Bloomington, MN-WI",44-45,  Retail trade,12547.9
1949,"Minneapolis-St. Paul-Bloomington, MN-WI",48-49,  Transportation and warehousing,6306.6
1958,"Minneapolis-St. Paul-Bloomington, MN-WI",51,  Information,9759.8
1963,"Minneapolis-St. Paul-Bloomington, MN-WI","52, 53","  Finance, insurance, real estate, rental, and leasing",50067.9
1964,"Minneapolis-St. Paul-Bloomington, MN-WI",52,   Finance and insurance,19833.8
1969,"Minneapolis-St. Paul-Bloomington, MN-WI",53,   Real estate and rental and leasing,30056.1
1972,"Minneapolis-St. Paul-Bloomington, MN-WI","54, 55, 56",  Professional and business services,38226.7
1973,"Minneapolis-St. Paul-Bloomington, MN-WI",54,"   Professional, scientific, and technical services",
1974,"Minneapolis-St. Paul-Bloomington, MN-WI",55,   Management of companies and enterprises,
1975,"Minneapolis-St. Paul-Bloomington, MN-WI",56,   Administrative and support and waste management and remediation services,6927.1
1978,"Minneapolis-St. Paul-Bloomington, MN-WI","61, 62","  Educational services, health care, and social assistance",19501.7
1979,"Minneapolis-St. Paul-Bloomington, MN-WI",61,   Educational services,1836.6
1980,"Minneapolis-St. Paul-Bloomington, MN-WI",62,   Health care and social assistance,17698.7
1984,"Minneapolis-St. Paul-Bloomington, MN-WI","71, 72","  Arts, entertainment, recreation, accommodation, and food services",7411.8
1985,"Minneapolis-St. Paul-Bloomington, MN-WI",71,"   Arts, entertainment, and recreation",2464.6
1988,"Minneapolis-St. Paul-Bloomington, MN-WI",72,   Accommodation and food services,4950.3
1991,"Minneapolis-St. Paul-Bloomington, MN-WI",81,  Other services (except government and government enterprises),4373.4
1996,"Minneapolis-St. Paul-Bloomington, MN-WI","11, 21",Natural resources and mining,795.7
1997,"Minneapolis-St. Paul-Bloomington, MN-WI","42, 44-45",Trade,29450.1
2003,"Nashville-Davidson--Murfreesboro--Franklin, TN",11,"  Agriculture, forestry, fishing, and hunting",237.7
2006,"Nashville-Davidson--Murfreesboro--Franklin, TN",21,"  Mining, quarrying, and oil and gas extraction",256.7
2010,"Nashville-Davidson--Murfreesboro--Franklin, TN",22,  Utilities,565.3
2011,"Nashville-Davidson--Murfreesboro--Franklin, TN",23,  Construction,4502.4
2012,"Nashville-Davidson--Murfreesboro--Franklin, TN",31-33,  Manufacturing,12691.5
2034,"Nashville-Davidson--Murfreesboro--Franklin, TN",42,  Wholesale trade,8110.9
