,GeoName,IndustryClassification,Description,2017
2093,"New Orleans-Metairie, LA",21,"  Mining, quarrying, and oil and gas extraction",2009.7
2097,"New Orleans-Metairie, LA",22,  Utilities,1137.8
2098,"New Orleans-Metairie, LA",23,  Construction,
2099,"New Orleans-Metairie, LA",31-33,  Manufacturing,12255.8
2121,"New Orleans-Metairie, LA",42,  Wholesale trade,
2122,"New Orleans-Metairie, LA",44-45,  Retail trade,
2123,"New Orleans-Metairie, LA",48-49,  Transportation and warehousing,3225.2
2132,"New Orleans-Metairie, LA",51,  Information,2218.4
2137,"New Orleans-Metairie, LA","52, 53","  Finance, insurance, real estate, rental, and leasing",9834.4
2138,"New Orleans-Metairie, LA",52,   Finance and insurance,3026.9
2143,"New Orleans-Metairie, LA",53,   Real estate and rental and leasing,6782.9
2146,"New Orleans-Metairie, LA","54, 55, 56",  Professional and business services,7407.4
2147,"New Orleans-Metairie, LA",54,"   Professional, scientific, and technical services",4280.9
2148,"New Orleans-Metairie, LA",55,   Management of companies and enterprises,
2149,"New Orleans-Metairie, LA",56,   Administrative and support and waste management and remediation services,
2152,"New Orleans-Metairie, LA","61, 62","  Educational services, health care, and social assistance",5718.9
2153,"New Orleans-Metairie, LA",61,   Educational services,1082.3
2154,"New Orleans-Metairie, LA",62,   Health care and social assistance,4657.9
2158,"New Orleans-Metairie, LA","71, 72","  Arts, entertainment, recreation, accommodation, and food services",4670.1
2159,"New Orleans-Metairie, LA",71,"   Arts, entertainment, and recreation",1218.4
2162,"New Orleans-Metairie, LA",72,   Accommodation and food services,3452.0
2165,"New Orleans-Metairie, LA",81,  Other services (except government and government enterprises),
2170,"New Orleans-Metairie, LA","11, 21",Natural resources and mining,
2171,"New Orleans-Metairie, LA","42, 44-45",Trade,
2177,"New York-Newark-Jersey City, NY-NJ-PA",11,"  Agriculture, forestry, fishing, and hunting",
2180,"New York-Newark-Jersey City, NY-NJ-PA",21,"  Mining, quarrying, and oil and gas extraction",
2184,"New York-Newark-Jersey City, NY-NJ-PA",22,  Utilities,
2185,"New York-Newark-Jersey City, NY-NJ-PA",23,  Construction,
2186,"New York-Newark-Jersey City, NY-NJ-PA",31-33,  Manufacturing,
2208,"New York-Newark-Jersey City, NY-NJ-PA",42,  Wholesale trade,86090.7
2209,"New York-Newark-Jersey City, NY-NJ-PA",44-45,  Retail trade,74365.6
2210,"New York-Newark-Jersey City, NY-NJ-PA",48-49,  Transportation and warehousing,
2219,"New York-Newark-Jersey City, NY-NJ-PA",51,  Information,133310.7
2224,"New York-Newark-Jersey City, NY-NJ-PA","52, 53","  Finance, insurance, real estate, rental, and leasing",440436.5
2225,"New York-Newark-Jersey City, NY-NJ-PA",52,   Finance and insurance,194373.5
2230,"New York-Newark-Jersey City, NY-NJ-PA",53,   Real estate and rental and leasing,248329.2
2233,"New York-Newark-Jersey City, NY-NJ-PA","54, 55, 56",  Professional and business services,222977.5
2234,"New York-Newark-Jersey City, NY-NJ-PA",54,"   Professional, scientific, and technical services",139342.6
2235,"New York-Newark-Jersey City, NY-NJ-PA",55,   Management of companies and enterprises,38406.4
2236,"New York-Newark-Jersey City, NY-NJ-PA",56,   Administrative and support and waste management and remediation services,45124.4
2239,"New York-Newark-Jersey City, NY-NJ-PA","61, 62","  Educational services, health care, and social assistance",122221.7
2240,"New York-Newark-Jersey City, NY-NJ-PA",61,   Educational services,20591.2
2241,"New York-Newark-Jersey City, NY-NJ-PA",62,   Health care and social assistance,101627.5
2245,"New York-Newark-Jersey City, NY-NJ-PA","71, 72","  Arts, entertainment, recreation, accommodation, and food services",54138.4
2246,"New York-Newark-Jersey City, NY-NJ-PA",71,"   Arts, entertainment, and recreation",19698.7
2249,"New York-Newark-Jersey City, NY-NJ-PA",72,   Accommodation and food services,34461.5
2252,"New York-Newark-Jersey City, NY-NJ-PA",81,  Other services (except government and government enterprises),27741.0
2257,"New York-Newark-Jersey City, NY-NJ-PA","11, 21",Natural resources and mining,1079.4
2258,"New York-Newark-Jersey City, NY-NJ-PA","42, 44-45",Trade,160385.8
2264,"Oklahoma City, OK",11,"  Agriculture, forestry, fishing, and hunting",158.8
2267,"Oklahoma City, OK",21,"  Mining, quarrying, and oil and gas extraction",10194.7
2271,"Oklahoma City, OK",22,  Utilities,
2272,"Oklahoma City, OK",23,  Construction,2468.1
2273,"Oklahoma City, OK",31-33,  Manufacturing,3592.7
2295,"Oklahoma City, OK",42,  Wholesale trade,4393.6
2296,"Oklahoma City, OK",44-45,  Retail trade,4202.9
2297,"Oklahoma City, OK",48-49,  Transportation and warehousing,
2306,"Oklahoma City, OK",51,  Information,
2311,"Oklahoma City, OK","52, 53","  Finance, insurance, real estate, rental, and leasing",10655.4
2312,"Oklahoma City, OK",52,   Finance and insurance,2656.3
2317,"Oklahoma City, OK",53,   Real estate and rental and leasing,8013.5
2320,"Oklahoma City, OK","54, 55, 56",  Professional and business services,6801.6
2321,"Oklahoma City, OK",54,"   Professional, scientific, and technical services",3331.1
2322,"Oklahoma City, OK",55,   Management of companies and enterprises,1159.2
2323,"Oklahoma City, OK",56,   Administrative and support and waste management and remediation services,2320.3
2326,"Oklahoma City, OK","61, 62","  Educational services, health care, and social assistance",5623.1
2327,"Oklahoma City, OK",61,   Educational services,
2328,"Oklahoma City, OK",62,   Health care and social assistance,
2332,"Oklahoma City, OK","71, 72","  Arts, entertainment, recreation, accommodation, and food services",2507.3
2333,"Oklahoma City, OK",71,"   Arts, entertainment, and recreation",
2336,"Oklahoma City, OK",72,   Accommodation and food services,
2339,"Oklahoma City, OK",81,  Other services (except government and government enterprises),
2344,"Oklahoma City, OK","11, 21",Natural resources and mining,10315.1
2345,"Oklahoma City, OK","42, 44-45",Trade,8590.2
2351,"Orlando-Kissimmee-Sanford, FL",11,"  Agriculture, forestry, fishing, and hunting",279.4
2354,"Orlando-Kissimmee-Sanford, FL",21,"  Mining, quarrying, and oil and gas extraction",97.6
2358,"Orlando-Kissimmee-Sanford, FL",22,  Utilities,878.4
2359,"Orlando-Kissimmee-Sanford, FL",23,  Construction,6083.0
2360,"Orlando-Kissimmee-Sanford, FL",31-33,  Manufacturing,5352.5
2382,"Orlando-Kissimmee-Sanford, FL",42,  Wholesale trade,7267.3
2383,"Orlando-Kissimmee-Sanford, FL",44-45,  Retail trade,8479.7
2384,"Orlando-Kissimmee-Sanford, FL",48-49,  Transportation and warehousing,3445.1
2393,"Orlando-Kissimmee-Sanford, FL",51,  Information,5905.7
2398,"Orlando-Kissimmee-Sanford, FL","52, 53","  Finance, insurance, real estate, rental, and leasing",25635.3
2399,"Orlando-Kissimmee-Sanford, FL",52,   Finance and insurance,5782.8
2404,"Orlando-Kissimmee-Sanford, FL",53,   Real estate and rental and leasing,19610.0
2407,"Orlando-Kissimmee-Sanford, FL","54, 55, 56",  Professional and business services,17512.5
2408,"Orlando-Kissimmee-Sanford, FL",54,"   Professional, scientific, and technical services",8664.3
2409,"Orlando-Kissimmee-Sanford, FL",55,   Management of companies and enterprises,2484.8
2410,"Orlando-Kissimmee-Sanford, FL",56,   Administrative and support and waste management and remediation services,6370.0
2413,"Orlando-Kissimmee-Sanford, FL","61, 62","  Educational services, health care, and social assistance",9574.6
2414,"Orlando-Kissimmee-Sanford, FL",61,   Educational services,969.3
2415,"Orlando-Kissimmee-Sanford, FL",62,   Health care and social assistance,8631.1
2419,"Orlando-Kissimmee-Sanford, FL","71, 72","  Arts, entertainment, recreation, accommodation, and food services",12909.5
2420,"Orlando-Kissimmee-Sanford, FL",71,"   Arts, entertainment, and recreation",5617.0
2423,"Orlando-Kissimmee-Sanford, FL",72,   Accommodation and food services,7290.0
2426,"Orlando-Kissimmee-Sanford, FL",81,  Other services (except government and government enterprises),2491.0
2431,"Orlando-Kissimmee-Sanford, FL","11, 21",Natural resources and mining,372.1
2432,"Orlando-Kissimmee-Sanford, FL","42, 44-45",Trade,15741.4
2438,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11,"  Agriculture, forestry, fishing, and hunting",
2441,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",21,"  Mining, quarrying, and oil and gas extraction",
2445,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",22,  Utilities,
2446,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",23,  Construction,13520.6
2447,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",31-33,  Manufacturing,31700.8
2469,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,  Wholesale trade,
2470,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",44-45,  Retail trade,18135.8
2471,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",48-49,  Transportation and warehousing,8026.8
2480,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",51,  Information,43880.3
2485,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","52, 53","  Finance, insurance, real estate, rental, and leasing",95057.6
2486,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",52,   Finance and insurance,38993.0
2491,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",53,   Real estate and rental and leasing,55775.7
2494,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","54, 55, 56",  Professional and business services,58573.6
2495,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",54,"   Professional, scientific, and technical services",
2496,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",55,   Management of companies and enterprises,
2497,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",56,   Administrative and support and waste management and remediation services,
2500,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","61, 62","  Educational services, health care, and social assistance",40354.0
2501,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",61,   Educational services,7770.2
2502,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",62,   Health care and social assistance,32642.3
2506,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","71, 72","  Arts, entertainment, recreation, accommodation, and food services",10408.6
2507,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",71,"   Arts, entertainment, and recreation",3816.4
2510,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",72,   Accommodation and food services,6596.7
2513,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",81,  Other services (except government and government enterprises),6429.7
2518,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","11, 21",Natural resources and mining,1637.1
2519,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","42, 44-45",Trade,
2525,"Phoenix-Mesa-Scottsdale, AZ",11,"  Agriculture, forestry, fishing, and hunting",594.5
2528,"Phoenix-Mesa-Scottsdale, AZ",21,"  Mining, quarrying, and oil and gas extraction",2173.9
2532,"Phoenix-Mesa-Scottsdale, AZ",22,  Utilities,4121.5
2533,"Phoenix-Mesa-Scottsdale, AZ",23,  Construction,9230.1
2534,"Phoenix-Mesa-Scottsdale, AZ",31-33,  Manufacturing,18911.5
2556,"Phoenix-Mesa-Scottsdale, AZ",42,  Wholesale trade,13870.8
2557,"Phoenix-Mesa-Scottsdale, AZ",44-45,  Retail trade,17103.5
2558,"Phoenix-Mesa-Scottsdale, AZ",48-49,  Transportation and warehousing,5772.6
2567,"Phoenix-Mesa-Scottsdale, AZ",51,  Information,8067.9
2572,"Phoenix-Mesa-Scottsdale, AZ","52, 53","  Finance, insurance, real estate, rental, and leasing",50809.0
2573,"Phoenix-Mesa-Scottsdale, AZ",52,   Finance and insurance,14372.7
2578,"Phoenix-Mesa-Scottsdale, AZ",53,   Real estate and rental and leasing,36468.8
2581,"Phoenix-Mesa-Scottsdale, AZ","54, 55, 56",  Professional and business services,28080.9
2582,"Phoenix-Mesa-Scottsdale, AZ",54,"   Professional, scientific, and technical services",13001.6
2583,"Phoenix-Mesa-Scottsdale, AZ",55,   Management of companies and enterprises,3930.2
2584,"Phoenix-Mesa-Scottsdale, AZ",56,   Administrative and support and waste management and remediation services,11184.1
2587,"Phoenix-Mesa-Scottsdale, AZ","61, 62","  Educational services, health care, and social assistance",19780.1
2588,"Phoenix-Mesa-Scottsdale, AZ",61,   Educational services,2262.5
2589,"Phoenix-Mesa-Scottsdale, AZ",62,   Health care and social assistance,17570.3
2593,"Phoenix-Mesa-Scottsdale, AZ","71, 72","  Arts, entertainment, recreation, accommodation, and food services",8923.6
2594,"Phoenix-Mesa-Scottsdale, AZ",71,"   Arts, entertainment, and recreation",2530.6
2597,"Phoenix-Mesa-Scottsdale, AZ",72,   Accommodation and food services,6401.8
2600,"Phoenix-Mesa-Scottsdale, AZ",81,  Other services (except government and government enterprises),4129.8
2605,"Phoenix-Mesa-Scottsdale, AZ","11, 21",Natural resources and mining,2794.9
2606,"Phoenix-Mesa-Scottsdale, AZ","42, 44-45",Trade,30955.5
2612,"Pittsburgh, PA",11,"  Agriculture, forestry, fishing, and hunting",44.8
2615,"Pittsburgh, PA",21,"  Mining, quarrying, and oil and gas extraction",14166.7
2619,"Pittsburgh, PA",22,  Utilities,2521.6
2620,"Pittsburgh, PA",23,  Construction,5691.0
2621,"Pittsburgh, PA",31-33,  Manufacturing,12007.2
2643,"Pittsburgh, PA",42,  Wholesale trade,7226.5
2644,"Pittsburgh, PA",44-45,  Retail trade,6915.7
2645,"Pittsburgh, PA",48-49,  Transportation and warehousing,3579.5
2654,"Pittsburgh, PA",51,  Information,4504.9
2659,"Pittsburgh, PA","52, 53","  Finance, insurance, real estate, rental, and leasing",23740.6
2660,"Pittsburgh, PA",52,   Finance and insurance,8151.9
2665,"Pittsburgh, PA",53,   Real estate and rental and leasing,15576.8
2668,"Pittsburgh, PA","54, 55, 56",  Professional and business services,19518.7
2669,"Pittsburgh, PA",54,"   Professional, scientific, and technical services",9514.4
2670,"Pittsburgh, PA",55,   Management of companies and enterprises,6787.5
2671,"Pittsburgh, PA",56,   Administrative and support and waste management and remediation services,3215.5
2674,"Pittsburgh, PA","61, 62","  Educational services, health care, and social assistance",14755.4
2675,"Pittsburgh, PA",61,   Educational services,2558.6
2676,"Pittsburgh, PA",62,   Health care and social assistance,12227.3
2680,"Pittsburgh, PA","71, 72","  Arts, entertainment, recreation, accommodation, and food services",4739.8
2681,"Pittsburgh, PA",71,"   Arts, entertainment, and recreation",2024.5
2684,"Pittsburgh, PA",72,   Accommodation and food services,2717.1
2687,"Pittsburgh, PA",81,  Other services (except government and government enterprises),2748.3
2692,"Pittsburgh, PA","11, 21",Natural resources and mining,14170.1
2693,"Pittsburgh, PA","42, 44-45",Trade,14135.0
2699,"Portland-Vancouver-Hillsboro, OR-WA",11,"  Agriculture, forestry, fishing, and hunting",
2702,"Portland-Vancouver-Hillsboro, OR-WA",21,"  Mining, quarrying, and oil and gas extraction",
2706,"Portland-Vancouver-Hillsboro, OR-WA",22,  Utilities,1968.0
2707,"Portland-Vancouver-Hillsboro, OR-WA",23,  Construction,5678.7
2708,"Portland-Vancouver-Hillsboro, OR-WA",31-33,  Manufacturing,40529.1
2730,"Portland-Vancouver-Hillsboro, OR-WA",42,  Wholesale trade,9306.7
2731,"Portland-Vancouver-Hillsboro, OR-WA",44-45,  Retail trade,7123.5
2732,"Portland-Vancouver-Hillsboro, OR-WA",48-49,  Transportation and warehousing,3672.2
2741,"Portland-Vancouver-Hillsboro, OR-WA",51,  Information,
2746,"Portland-Vancouver-Hillsboro, OR-WA","52, 53","  Finance, insurance, real estate, rental, and leasing",28059.8
2747,"Portland-Vancouver-Hillsboro, OR-WA",52,   Finance and insurance,6367.7
2752,"Portland-Vancouver-Hillsboro, OR-WA",53,   Real estate and rental and leasing,21700.9
2755,"Portland-Vancouver-Hillsboro, OR-WA","54, 55, 56",  Professional and business services,20186.1
2756,"Portland-Vancouver-Hillsboro, OR-WA",54,"   Professional, scientific, and technical services",
2757,"Portland-Vancouver-Hillsboro, OR-WA",55,   Management of companies and enterprises,
2758,"Portland-Vancouver-Hillsboro, OR-WA",56,   Administrative and support and waste management and remediation services,4010.3
2761,"Portland-Vancouver-Hillsboro, OR-WA","61, 62","  Educational services, health care, and social assistance",10956.3
2762,"Portland-Vancouver-Hillsboro, OR-WA",61,   Educational services,
2763,"Portland-Vancouver-Hillsboro, OR-WA",62,   Health care and social assistance,
2767,"Portland-Vancouver-Hillsboro, OR-WA","71, 72","  Arts, entertainment, recreation, accommodation, and food services",4830.5
2768,"Portland-Vancouver-Hillsboro, OR-WA",71,"   Arts, entertainment, and recreation",1205.6
2771,"Portland-Vancouver-Hillsboro, OR-WA",72,   Accommodation and food services,3625.4
2774,"Portland-Vancouver-Hillsboro, OR-WA",81,  Other services (except government and government enterprises),
2779,"Portland-Vancouver-Hillsboro, OR-WA","11, 21",Natural resources and mining,1100.6
2780,"Portland-Vancouver-Hillsboro, OR-WA","42, 44-45",Trade,16406.9
2786,"Raleigh, NC",11,"  Agriculture, forestry, fishing, and hunting",248.1
2789,"Raleigh, NC",21,"  Mining, quarrying, and oil and gas extraction",
2793,"Raleigh, NC",22,  Utilities,
2794,"Raleigh, NC",23,  Construction,3037.9
2795,"Raleigh, NC",31-33,  Manufacturing,10226.9
2817,"Raleigh, NC",42,  Wholesale trade,5821.0
2818,"Raleigh, NC",44-45,  Retail trade,3980.0
2819,"Raleigh, NC",48-49,  Transportation and warehousing,
2828,"Raleigh, NC",51,  Information,6220.5
2833,"Raleigh, NC","52, 53","  Finance, insurance, real estate, rental, and leasing",13677.1
2834,"Raleigh, NC",52,   Finance and insurance,3908.8
2839,"Raleigh, NC",53,   Real estate and rental and leasing,9666.3
2842,"Raleigh, NC","54, 55, 56",  Professional and business services,12270.9
2843,"Raleigh, NC",54,"   Professional, scientific, and technical services",
2844,"Raleigh, NC",55,   Management of companies and enterprises,
2845,"Raleigh, NC",56,   Administrative and support and waste management and remediation services,3040.3
2848,"Raleigh, NC","61, 62","  Educational services, health care, and social assistance",5002.0
2849,"Raleigh, NC",61,   Educational services,504.8
2850,"Raleigh, NC",62,   Health care and social assistance,4505.0
2854,"Raleigh, NC","71, 72","  Arts, entertainment, recreation, accommodation, and food services",
2855,"Raleigh, NC",71,"   Arts, entertainment, and recreation",
2858,"Raleigh, NC",72,   Accommodation and food services,1526.3
2861,"Raleigh, NC",81,  Other services (except government and government enterprises),1358.6
2866,"Raleigh, NC","11, 21",Natural resources and mining,
2867,"Raleigh, NC","42, 44-45",Trade,9809.1
2873,"Sacramento--Roseville--Arden-Arcade, CA",11,"  Agriculture, forestry, fishing, and hunting",653.0
2876,"Sacramento--Roseville--Arden-Arcade, CA",21,"  Mining, quarrying, and oil and gas extraction",130.1
2880,"Sacramento--Roseville--Arden-Arcade, CA",22,  Utilities,
2881,"Sacramento--Roseville--Arden-Arcade, CA",23,  Construction,6075.1
2882,"Sacramento--Roseville--Arden-Arcade, CA",31-33,  Manufacturing,5510.2
2904,"Sacramento--Roseville--Arden-Arcade, CA",42,  Wholesale trade,
2905,"Sacramento--Roseville--Arden-Arcade, CA",44-45,  Retail trade,7549.6
2906,"Sacramento--Roseville--Arden-Arcade, CA",48-49,  Transportation and warehousing,2135.6
2915,"Sacramento--Roseville--Arden-Arcade, CA",51,  Information,3287.3
2920,"Sacramento--Roseville--Arden-Arcade, CA","52, 53","  Finance, insurance, real estate, rental, and leasing",19367.0
2921,"Sacramento--Roseville--Arden-Arcade, CA",52,   Finance and insurance,4883.6
2926,"Sacramento--Roseville--Arden-Arcade, CA",53,   Real estate and rental and leasing,14599.9
2929,"Sacramento--Roseville--Arden-Arcade, CA","54, 55, 56",  Professional and business services,13628.6
2930,"Sacramento--Roseville--Arden-Arcade, CA",54,"   Professional, scientific, and technical services",7780.4
2931,"Sacramento--Roseville--Arden-Arcade, CA",55,   Management of companies and enterprises,1659.6
2932,"Sacramento--Roseville--Arden-Arcade, CA",56,   Administrative and support and waste management and remediation services,4215.6
2935,"Sacramento--Roseville--Arden-Arcade, CA","61, 62","  Educational services, health care, and social assistance",10623.0
2936,"Sacramento--Roseville--Arden-Arcade, CA",61,   Educational services,588.7
2937,"Sacramento--Roseville--Arden-Arcade, CA",62,   Health care and social assistance,10057.6
2941,"Sacramento--Roseville--Arden-Arcade, CA","71, 72","  Arts, entertainment, recreation, accommodation, and food services",3905.4
2942,"Sacramento--Roseville--Arden-Arcade, CA",71,"   Arts, entertainment, and recreation",923.1
2945,"Sacramento--Roseville--Arden-Arcade, CA",72,   Accommodation and food services,2982.9
2948,"Sacramento--Roseville--Arden-Arcade, CA",81,  Other services (except government and government enterprises),2657.5
2953,"Sacramento--Roseville--Arden-Arcade, CA","11, 21",Natural resources and mining,781.5
2954,"Sacramento--Roseville--Arden-Arcade, CA","42, 44-45",Trade,
2960,"St. Louis, MO-IL",11,"  Agriculture, forestry, fishing, and hunting",311.8
2963,"St. Louis, MO-IL",21,"  Mining, quarrying, and oil and gas extraction",
2967,"St. Louis, MO-IL",22,  Utilities,2136.3
2968,"St. Louis, MO-IL",23,  Construction,
2969,"St. Louis, MO-IL",31-33,  Manufacturing,17815.9
2991,"St. Louis, MO-IL",42,  Wholesale trade,10813.7
2992,"St. Louis, MO-IL",44-45,  Retail trade,8330.4
2993,"St. Louis, MO-IL",48-49,  Transportation and warehousing,4002.7
3002,"St. Louis, MO-IL",51,  Information,
3007,"St. Louis, MO-IL","52, 53","  Finance, insurance, real estate, rental, and leasing",27070.1
3008,"St. Louis, MO-IL",52,   Finance and insurance,10147.2
3013,"St. Louis, MO-IL",53,   Real estate and rental and leasing,17055.9
3016,"St. Louis, MO-IL","54, 55, 56",  Professional and business services,21213.7
3017,"St. Louis, MO-IL",54,"   Professional, scientific, and technical services",9840.2
3018,"St. Louis, MO-IL",55,   Management of companies and enterprises,6446.1
3019,"St. Louis, MO-IL",56,   Administrative and support and waste management and remediation services,4920.8
3022,"St. Louis, MO-IL","61, 62","  Educational services, health care, and social assistance",14582.2
3023,"St. Louis, MO-IL",61,   Educational services,2056.4
3024,"St. Louis, MO-IL",62,   Health care and social assistance,12545.0
3028,"St. Louis, MO-IL","71, 72","  Arts, entertainment, recreation, accommodation, and food services",
3029,"St. Louis, MO-IL",71,"   Arts, entertainment, and recreation",
3032,"St. Louis, MO-IL",72,   Accommodation and food services,3591.1
3035,"St. Louis, MO-IL",81,  Other services (except government and government enterprises),
3040,"St. Louis, MO-IL","11, 21",Natural resources and mining,
3041,"St. Louis, MO-IL","42, 44-45",Trade,19148.2
3047,"Salt Lake City, UT",11,"  Agriculture, forestry, fishing, and hunting",
3050,"Salt Lake City, UT",21,"  Mining, quarrying, and oil and gas extraction",509.6
3054,"Salt Lake City, UT",22,  Utilities,658.7
3055,"Salt Lake City, UT",23,  Construction,3928.7
3056,"Salt Lake City, UT",31-33,  Manufacturing,7293.7
3078,"Salt Lake City, UT",42,  Wholesale trade,4438.2
3079,"Salt Lake City, UT",44-45,  Retail trade,5420.8
3080,"Salt Lake City, UT",48-49,  Transportation and warehousing,3086.3
3089,"Salt Lake City, UT",51,  Information,4105.8
3094,"Salt Lake City, UT","52, 53","  Finance, insurance, real estate, rental, and leasing",17603.4
3095,"Salt Lake City, UT",52,   Finance and insurance,7278.1
3100,"Salt Lake City, UT",53,   Real estate and rental and leasing,10354.7
3103,"Salt Lake City, UT","54, 55, 56",  Professional and business services,
3104,"Salt Lake City, UT",54,"   Professional, scientific, and technical services",
3105,"Salt Lake City, UT",55,   Management of companies and enterprises,
3106,"Salt Lake City, UT",56,   Administrative and support and waste management and remediation services,2981.8
3109,"Salt Lake City, UT","61, 62","  Educational services, health care, and social assistance",4786.4
3110,"Salt Lake City, UT",61,   Educational services,655.5
3111,"Salt Lake City, UT",62,   Health care and social assistance,4135.2
3115,"Salt Lake City, UT","71, 72","  Arts, entertainment, recreation, accommodation, and food services",2049.6
3116,"Salt Lake City, UT",71,"   Arts, entertainment, and recreation",533.7
3119,"Salt Lake City, UT",72,   Accommodation and food services,1518.1
3122,"Salt Lake City, UT",81,  Other services (except government and government enterprises),1733.8
3127,"Salt Lake City, UT","11, 21",Natural resources and mining,
3128,"Salt Lake City, UT","42, 44-45",Trade,9853.2
3134,"San Antonio-New Braunfels, TX",11,"  Agriculture, forestry, fishing, and hunting",
3137,"San Antonio-New Braunfels, TX",21,"  Mining, quarrying, and oil and gas extraction",
3141,"San Antonio-New Braunfels, TX",22,  Utilities,
3142,"San Antonio-New Braunfels, TX",23,  Construction,4462.9
3143,"San Antonio-New Braunfels, TX",31-33,  Manufacturing,9522.9
3165,"San Antonio-New Braunfels, TX",42,  Wholesale trade,
3166,"San Antonio-New Braunfels, TX",44-45,  Retail trade,7796.3
3167,"San Antonio-New Braunfels, TX",48-49,  Transportation and warehousing,2748.7
3176,"San Antonio-New Braunfels, TX",51,  Information,5039.1
3181,"San Antonio-New Braunfels, TX","52, 53","  Finance, insurance, real estate, rental, and leasing",19827.6
3182,"San Antonio-New Braunfels, TX",52,   Finance and insurance,9735.4
3187,"San Antonio-New Braunfels, TX",53,   Real estate and rental and leasing,9996.7
3190,"San Antonio-New Braunfels, TX","54, 55, 56",  Professional and business services,11126.3
3191,"San Antonio-New Braunfels, TX",54,"   Professional, scientific, and technical services",5439.0
3192,"San Antonio-New Braunfels, TX",55,   Management of companies and enterprises,1953.4
3193,"San Antonio-New Braunfels, TX",56,   Administrative and support and waste management and remediation services,3749.9
3196,"San Antonio-New Braunfels, TX","61, 62","  Educational services, health care, and social assistance",8752.5
3197,"San Antonio-New Braunfels, TX",61,   Educational services,755.1
3198,"San Antonio-New Braunfels, TX",62,   Health care and social assistance,8011.3
3202,"San Antonio-New Braunfels, TX","71, 72","  Arts, entertainment, recreation, accommodation, and food services",4735.9
3203,"San Antonio-New Braunfels, TX",71,"   Arts, entertainment, and recreation",889.7
3206,"San Antonio-New Braunfels, TX",72,   Accommodation and food services,3847.1
3209,"San Antonio-New Braunfels, TX",81,  Other services (except government and government enterprises),2147.9
3214,"San Antonio-New Braunfels, TX","11, 21",Natural resources and mining,17621.4
3215,"San Antonio-New Braunfels, TX","42, 44-45",Trade,
3221,"San Diego-Carlsbad, CA",11,"  Agriculture, forestry, fishing, and hunting",372.3
3224,"San Diego-Carlsbad, CA",21,"  Mining, quarrying, and oil and gas extraction",112.9
3228,"San Diego-Carlsbad, CA",22,  Utilities,2317.7
3229,"San Diego-Carlsbad, CA",23,  Construction,6836.3
3230,"San Diego-Carlsbad, CA",31-33,  Manufacturing,20344.3
3252,"San Diego-Carlsbad, CA",42,  Wholesale trade,10750.9
3253,"San Diego-Carlsbad, CA",44-45,  Retail trade,10784.6
3254,"San Diego-Carlsbad, CA",48-49,  Transportation and warehousing,2005.0
3263,"San Diego-Carlsbad, CA",51,  Information,12800.4
3268,"San Diego-Carlsbad, CA","52, 53","  Finance, insurance, real estate, rental, and leasing",42976.4
3269,"San Diego-Carlsbad, CA",52,   Finance and insurance,6339.1
3274,"San Diego-Carlsbad, CA",53,   Real estate and rental and leasing,36719.2
3277,"San Diego-Carlsbad, CA","54, 55, 56",  Professional and business services,28559.8
3278,"San Diego-Carlsbad, CA",54,"   Professional, scientific, and technical services",19173.8
3279,"San Diego-Carlsbad, CA",55,   Management of companies and enterprises,3122.7
3280,"San Diego-Carlsbad, CA",56,   Administrative and support and waste management and remediation services,6226.0
3283,"San Diego-Carlsbad, CA","61, 62","  Educational services, health care, and social assistance",13424.2
3284,"San Diego-Carlsbad, CA",61,   Educational services,1652.7
3285,"San Diego-Carlsbad, CA",62,   Health care and social assistance,11816.9
3289,"San Diego-Carlsbad, CA","71, 72","  Arts, entertainment, recreation, accommodation, and food services",8832.2
3290,"San Diego-Carlsbad, CA",71,"   Arts, entertainment, and recreation",2224.7
3293,"San Diego-Carlsbad, CA",72,   Accommodation and food services,6607.7
3296,"San Diego-Carlsbad, CA",81,  Other services (except government and government enterprises),3747.7
