GeoName,IndustryClassification,Description,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Boston-Cambridge-Newton, MA-NH",23,  Construction,10975,10311.1,9095.7,9014,9380.6,9955.6,None,10327.4,None,11748.7,None
"Boston-Cambridge-Newton, MA-NH",31-33,  Manufacturing,34491.1,31727.1,30187.6,33506.6,33488.8,34214,None,35026.6,None,34969.9,None
"Boston-Cambridge-Newton, MA-NH",42,  Wholesale trade,19219.4,19374.3,17281.9,17301.8,17432.2,16748.9,17302,17909,18638.1,18767.5,19293.2
"Boston-Cambridge-Newton, MA-NH",44-45,  Retail trade,12176,11842.4,11717.3,12175.4,12200.8,12258.6,12808.3,13218.2,13883.8,14628.1,15301.4
"Boston-Cambridge-Newton, MA-NH",48-49,  Transportation and warehousing,None,None,None,None,None,None,None,None,None,None,None
"Boston-Cambridge-Newton, MA-NH",51,  Information,17658.2,19147.8,18197.6,20700.8,20865.6,21179.9,21232.5,21402.2,24464.4,25531.3,26477.7
"Boston-Cambridge-Newton, MA-NH","52, 53","  Finance, insurance, real estate, rental, and leasing",79019.3,75804.3,80021.9,81398.2,82505.4,87059.2,85720.5,86933.9,90470.8,89643.3,91322
"Boston-Cambridge-Newton, MA-NH",52,   Finance and insurance,29155.7,25821.2,29995.3,29532.2,29269.6,32749.6,30230.6,30180.8,33088.9,31622.4,31861.4
"Boston-Cambridge-Newton, MA-NH",53,   Real estate and rental and leasing,49769.3,50117,50026.6,51887.3,53293.8,54224.3,55625.7,56960.1,57303.1,58172.5,59686.5
"Boston-Cambridge-Newton, MA-NH","54, 55, 56",  Professional and business services,53944.8,57587.1,54170.4,56391.7,58951.3,61598.7,62628.4,64715.9,69049.5,71319,75756.9
"Boston-Cambridge-Newton, MA-NH",54,"   Professional, scientific, and technical services",36559.9,40612,38311.4,39753.4,41062.1,42906.8,43384.6,44687.3,47740.9,50204.6,53875.8
"Boston-Cambridge-Newton, MA-NH",55,   Management of companies and enterprises,7933,7443.4,7103.3,7234.8,8113.9,8670.2,9070.5,9684.8,10644.6,10311.7,10554.6
"Boston-Cambridge-Newton, MA-NH",56,   Administrative and support and waste management and remediation services,9471,9530.5,8755.7,9406,9780,10023.8,10180.7,10361.2,10696.8,10796.8,11295
"Boston-Cambridge-Newton, MA-NH","61, 62","  Educational services, health care, and social assistance",33040,34894.9,35518.1,36528.1,37248.9,38287.8,38557.8,39461.4,40155.2,40790.9,41679.7
"Boston-Cambridge-Newton, MA-NH",61,   Educational services,8625.1,8856.7,9088.8,9339.7,9405.5,9436.1,9327.5,9529.4,9317,9526.5,9723.2
"Boston-Cambridge-Newton, MA-NH",62,   Health care and social assistance,24417.6,26038,26429.3,27188.4,27844.8,28860,29247.2,29950.5,30890.4,31311.3,32005.5
"Boston-Cambridge-Newton, MA-NH","71, 72","  Arts, entertainment, recreation, accommodation, and food services",10929.6,10670,10195.7,10938.3,11365.8,11649.1,12180,12698.8,13158.4,13319.9,13765.2
"Boston-Cambridge-Newton, MA-NH",71,"   Arts, entertainment, and recreation",3020.8,3002,2815.2,3056.4,3134,3206.6,3535.9,4012.8,4001.5,4002.2,4161.1
"Boston-Cambridge-Newton, MA-NH",72,   Accommodation and food services,7909.8,7667.2,7380.5,7882,8231.8,8442.6,8646.9,8697,9163.8,9323.1,9610.7
"Boston-Cambridge-Newton, MA-NH",81,  Other services (except government and government enterprises),6210.9,6077.5,5761.6,5666.6,5680,5741.9,5745,5924.7,6066.7,6167.9,6227.1
"Boston-Cambridge-Newton, MA-NH","11, 21",Natural resources and mining,555.5,510.8,533.3,547.4,453.3,465.4,511.4,455.7,None,550.2,None
"Boston-Cambridge-Newton, MA-NH","42, 44-45",Trade,31389.8,31193.4,28999.2,29475.1,29631.6,28999.5,30100.1,31117.1,32509.9,33376,34569.6
"Buffalo-Cheektowaga-Niagara Falls, NY",11,"  Agriculture, forestry, fishing, and hunting",None,None,None,None,None,None,None,None,None,None,None
"Buffalo-Cheektowaga-Niagara Falls, NY",21,"  Mining, quarrying, and oil and gas extraction",None,None,None,None,None,None,None,None,None,None,None
"Buffalo-Cheektowaga-Niagara Falls, NY",22,  Utilities,946.7,901.5,813.8,827.3,754.7,724.9,697.4,669.3,672.8,619.6,580.8
"Buffalo-Cheektowaga-Niagara Falls, NY",23,  Construction,1696.6,1731.5,1658.9,1651.1,1685.6,1683.4,1639.7,1631.8,1711.7,1750.6,1607.4
"Buffalo-Cheektowaga-Niagara Falls, NY",31-33,  Manufacturing,8434.7,7679.6,7222.5,7197.6,6896.7,6842.8,7022.8,7334.7,7033.9,7116.9,7186.6
"Buffalo-Cheektowaga-Niagara Falls, NY",42,  Wholesale trade,3277.7,3305.8,2950,3027.4,2880.4,2873.8,2904.6,2994.6,3141.9,2983.7,3033.7
"Buffalo-Cheektowaga-Niagara Falls, NY",44-45,  Retail trade,3127.7,3062.1,3149.3,3376.1,3426.4,3381.5,3437.9,3502,3618.4,3664.2,3667.1
"Buffalo-Cheektowaga-Niagara Falls, NY",48-49,  Transportation and warehousing,1141.6,1154.3,978.8,996.4,1048.5,1092.1,1098.6,1104.3,1090.7,1009,1008.7
"Buffalo-Cheektowaga-Niagara Falls, NY",51,  Information,1635.9,1590.2,1526.8,1428.5,1407.3,1415.1,1372.5,1403.9,1445.3,1404.8,1467
"Buffalo-Cheektowaga-Niagara Falls, NY","52, 53","  Finance, insurance, real estate, rental, and leasing",6393.7,6613.5,8043.3,8267.4,9079.6,8766.9,8268.1,8717.5,9161.4,9727.9,9788.3
"Buffalo-Cheektowaga-Niagara Falls, NY",52,   Finance and insurance,3679.8,3914,4933.5,4746.8,4752.9,5252.8,4711.1,4890.7,5491.5,5839.2,6100.6
"Buffalo-Cheektowaga-Niagara Falls, NY",53,   Real estate and rental and leasing,2739.6,2708.5,3109.8,3528.2,4358.8,3498.9,3566.2,3846.1,3638.6,3854.1,3606.8
"Buffalo-Cheektowaga-Niagara Falls, NY","54, 55, 56",  Professional and business services,4895.3,5282.3,5391.3,5649.7,5833.8,5908.3,5974.5,5882,5895.5,5875,5866.5
"Buffalo-Cheektowaga-Niagara Falls, NY",54,"   Professional, scientific, and technical services",2449.3,2684,2630.8,2692.1,2752.9,2688.3,2623.1,2655,2713.6,2732.5,2771.1
"Buffalo-Cheektowaga-Niagara Falls, NY",55,   Management of companies and enterprises,938.3,938.7,1061,1135.9,1251.4,1351,1486.9,1617.8,1600.7,1606.5,1531.2
"Buffalo-Cheektowaga-Niagara Falls, NY",56,   Administrative and support and waste management and remediation services,1508.1,1658.5,1699.6,1822.3,1829.6,1871.7,1870.6,1615.5,1584.7,1540,1560.7
"Buffalo-Cheektowaga-Niagara Falls, NY","61, 62","  Educational services, health care, and social assistance",4387.9,4539.3,4735.8,4774.2,4771.3,4825.4,4855.9,4899.8,5001.6,5133.1,5230.2
"Buffalo-Cheektowaga-Niagara Falls, NY",61,   Educational services,555.9,565.3,585.4,585.8,574.9,637.7,609.6,603.7,585.1,570.3,561.2
"Buffalo-Cheektowaga-Niagara Falls, NY",62,   Health care and social assistance,3832.3,3974,4150.4,4188.4,4196.6,4186.2,4246.5,4297,4420.3,4569.8,4678.6
"Buffalo-Cheektowaga-Niagara Falls, NY","71, 72","  Arts, entertainment, recreation, accommodation, and food services",1949.7,1874.5,1818.7,1974.1,2108.3,2226.6,2191.8,2123.9,2261.8,2353.3,2409.8
"Buffalo-Cheektowaga-Niagara Falls, NY",71,"   Arts, entertainment, and recreation",571.9,554.7,552.6,585.7,631.1,625.5,620.4,656.1,740.6,759.2,782.7
"Buffalo-Cheektowaga-Niagara Falls, NY",72,   Accommodation and food services,1378.3,1320.1,1266.1,1388.3,1477.2,1601,1571.4,1469.1,1523.8,1596.5,1629.7
"Buffalo-Cheektowaga-Niagara Falls, NY",81,  Other services (except government and government enterprises),1080.9,1072.7,1059.9,1013.8,994.5,987.3,982,999.6,1031.7,1029.5,1048.5
"Buffalo-Cheektowaga-Niagara Falls, NY","11, 21",Natural resources and mining,154.6,157.9,165.7,180,155.1,145.3,165.9,183,212.1,217.7,188.6
"Buffalo-Cheektowaga-Niagara Falls, NY","42, 44-45",Trade,6399.3,6361.1,6099.2,6402.9,6304.6,6253.4,6340.4,6494.8,6758.9,6644.5,6698.4
"Charlotte-Concord-Gastonia, NC-SC",11,"  Agriculture, forestry, fishing, and hunting",None,None,None,None,None,None,332.1,403.2,499.3,523.9,516.2
"Charlotte-Concord-Gastonia, NC-SC",21,"  Mining, quarrying, and oil and gas extraction",None,None,None,None,None,None,81.8,102.8,112.7,133.8,120.2
"Charlotte-Concord-Gastonia, NC-SC",22,  Utilities,None,None,None,None,None,None,2420.6,None,None,None,None
"Charlotte-Concord-Gastonia, NC-SC",23,  Construction,6152.3,5433.9,4233.4,3613.5,3741.1,4107.5,4611.9,4855.7,5353.5,5680.2,5593.3
"Charlotte-Concord-Gastonia, NC-SC",31-33,  Manufacturing,18650,17280.4,16021.1,16652.2,17775.7,17634.1,17811,16952.5,17967.9,18420.5,19399.6
"Charlotte-Concord-Gastonia, NC-SC",42,  Wholesale trade,9092.8,8812.4,7601.1,7706.6,7877.2,8170.8,8601.4,None,None,None,None
"Charlotte-Concord-Gastonia, NC-SC",44-45,  Retail trade,6145.2,5878.6,5669.6,6051.4,5995.7,6271.2,6582.2,6877.9,6961.5,7259.3,7427
"Charlotte-Concord-Gastonia, NC-SC",48-49,  Transportation and warehousing,None,None,None,None,None,None,3928.2,4161.8,4145.8,4176.9,None
"Charlotte-Concord-Gastonia, NC-SC",51,  Information,5573.5,6093.8,5505.9,5119.7,4836,4745,5003.4,5859.4,None,None,None
"Charlotte-Concord-Gastonia, NC-SC","52, 53","  Finance, insurance, real estate, rental, and leasing",30618,37079.1,33713.2,30364.5,35073.4,35883.5,35380.4,34277.2,None,None,None
"Charlotte-Concord-Gastonia, NC-SC",52,   Finance and insurance,16530.3,21733,19566.4,15790.7,19153,19497.3,17736,16595.8,16769.7,16156.6,16505.7
"Charlotte-Concord-Gastonia, NC-SC",53,   Real estate and rental and leasing,14333,15328,14146.8,14626.6,15926.9,16400.8,17836.6,17960.8,None,None,None
"Charlotte-Concord-Gastonia, NC-SC","54, 55, 56",  Professional and business services,14686.6,15607.4,14142.8,15346.9,16480.5,17664.4,17906.6,19939.3,21120.2,22208.8,23227.3
"Charlotte-Concord-Gastonia, NC-SC",54,"   Professional, scientific, and technical services",None,None,None,None,None,None,None,None,None,9712.6,9983.7
"Charlotte-Concord-Gastonia, NC-SC",55,   Management of companies and enterprises,None,None,None,None,None,None,None,None,None,None,None
"Charlotte-Concord-Gastonia, NC-SC",56,   Administrative and support and waste management and remediation services,3639.8,3876.7,None,None,None,None,4803.3,5175.6,5186.1,None,None
"Charlotte-Concord-Gastonia, NC-SC","61, 62","  Educational services, health care, and social assistance",5931.8,6204.7,6456.7,6335.2,6334.9,6456.5,6476.1,6727.2,6940.9,7009.4,7265.9
"Charlotte-Concord-Gastonia, NC-SC",61,   Educational services,None,None,704.1,710.3,None,None,726,None,None,None,None
"Charlotte-Concord-Gastonia, NC-SC",62,   Health care and social assistance,None,None,5752.6,5624.9,None,None,5750.3,None,None,None,None
"Charlotte-Concord-Gastonia, NC-SC","71, 72","  Arts, entertainment, recreation, accommodation, and food services",4249.5,4293.1,4192.8,4326.9,4367.8,4601.5,4623,4985.2,5445,5806.5,6018.3
"Charlotte-Concord-Gastonia, NC-SC",71,"   Arts, entertainment, and recreation",1684.6,1746.1,1792.2,1785.2,1828.7,1877.1,1796.7,1787.2,1833.8,None,1932.7
"Charlotte-Concord-Gastonia, NC-SC",72,   Accommodation and food services,2568.4,2548.7,2400.6,2541.7,2539,2724.3,2825.1,3193.3,3603.1,None,4073.6
"Charlotte-Concord-Gastonia, NC-SC",81,  Other services (except government and government enterprises),2057.1,1988.7,1799.3,1861.3,1942.5,2136.8,2195.5,2243.5,2328,2409.2,2467
"Charlotte-Concord-Gastonia, NC-SC","11, 21",Natural resources and mining,382.2,436.8,411.3,367.8,324.1,362.5,417.7,510,618.9,664.5,642.7
"Charlotte-Concord-Gastonia, NC-SC","42, 44-45",Trade,15228.7,14679.1,13270.6,13756.6,13873.4,14441.9,15183.7,None,None,None,None
"Chicago-Naperville-Elgin, IL-IN-WI",11,"  Agriculture, forestry, fishing, and hunting",None,None,None,None,None,None,571.7,None,None,None,405.6
"Chicago-Naperville-Elgin, IL-IN-WI",21,"  Mining, quarrying, and oil and gas extraction",None,None,None,None,None,None,None,347.3,None,None,583.8
"Chicago-Naperville-Elgin, IL-IN-WI",22,  Utilities,None,None,None,None,None,None,7708.5,None,7741.5,8097.1,8345.8
"Chicago-Naperville-Elgin, IL-IN-WI",23,  Construction,25593.9,23220.2,18412.9,15712.6,15169,16496.1,18570.6,18583.2,19754.6,20482.7,19978.1
"Chicago-Naperville-Elgin, IL-IN-WI",31-33,  Manufacturing,67213.6,62746.3,62345.3,65944.8,66924.8,70698.3,67325,68009.5,68805,71022.6,71661.2
"Chicago-Naperville-Elgin, IL-IN-WI",42,  Wholesale trade,None,None,None,None,None,None,None,45955.9,48003.3,None,None
"Chicago-Naperville-Elgin, IL-IN-WI",44-45,  Retail trade,29685.2,28292.5,26334.7,25830.7,26019.8,26595.7,27201.4,27162.7,28202.3,29152.2,30037.1
"Chicago-Naperville-Elgin, IL-IN-WI",48-49,  Transportation and warehousing,None,None,None,None,None,None,20913,None,19897.3,20130.5,20667.9
"Chicago-Naperville-Elgin, IL-IN-WI",51,  Information,None,None,None,None,None,None,None,None,None,None,None
"Chicago-Naperville-Elgin, IL-IN-WI","52, 53","  Finance, insurance, real estate, rental, and leasing",132879,121430.2,127421.8,126897.6,127969,132231.5,125626.5,129539.3,None,136816.6,None
"Chicago-Naperville-Elgin, IL-IN-WI",52,   Finance and insurance,52043,41069.4,48213.7,47155.6,47800.1,50765.3,45986.3,49385.5,52108.1,51989.5,52197.5
"Chicago-Naperville-Elgin, IL-IN-WI",53,   Real estate and rental and leasing,80327.3,80605,79208,79760.4,80175,81373,79770.8,80040.5,None,84751.9,None
"Chicago-Naperville-Elgin, IL-IN-WI","54, 55, 56",  Professional and business services,79847.1,82427.1,75399.9,77126.4,79449.9,82663.2,83437.5,86228.3,87856.4,88648.1,91236.5
"Chicago-Naperville-Elgin, IL-IN-WI",54,"   Professional, scientific, and technical services",None,49933.1,45731.4,45245.2,None,None,None,49752.3,None,None,53589.4
"Chicago-Naperville-Elgin, IL-IN-WI",55,   Management of companies and enterprises,None,None,None,13392.8,None,None,15099.4,15284.4,None,None,15288.6
"Chicago-Naperville-Elgin, IL-IN-WI",56,   Administrative and support and waste management and remediation services,18832.3,None,None,18501.7,19144.7,20072.7,None,21229,21270.4,None,22309.7
"Chicago-Naperville-Elgin, IL-IN-WI","61, 62","  Educational services, health care, and social assistance",39962.1,41830.9,42761.7,42542.6,43360.3,43968.8,44418.1,44989.8,45597.3,46376.7,47398.2
"Chicago-Naperville-Elgin, IL-IN-WI",61,   Educational services,None,None,None,None,None,8627.1,8436.3,8508,None,8224.8,None
"Chicago-Naperville-Elgin, IL-IN-WI",62,   Health care and social assistance,None,None,None,None,None,35343.4,35997.5,36500.3,None,38221.4,None
"Chicago-Naperville-Elgin, IL-IN-WI","71, 72","  Arts, entertainment, recreation, accommodation, and food services",20272.5,20056.4,17903.2,18368.2,19071.9,19577.9,21223.8,21905,22986.6,23100.3,23621.7
"Chicago-Naperville-Elgin, IL-IN-WI",71,"   Arts, entertainment, and recreation",5726.1,5603.4,None,5360.6,None,None,None,None,None,None,None
"Chicago-Naperville-Elgin, IL-IN-WI",72,   Accommodation and food services,14547.1,14455.8,None,13007.6,None,None,None,None,None,None,None
"Chicago-Naperville-Elgin, IL-IN-WI",81,  Other services (except government and government enterprises),None,None,None,None,None,None,None,None,None,None,None
"Chicago-Naperville-Elgin, IL-IN-WI","11, 21",Natural resources and mining,1341.2,1216.1,1058,941.7,995.2,794.6,None,None,872.1,930.5,986.4
"Chicago-Naperville-Elgin, IL-IN-WI","42, 44-45",Trade,None,None,None,None,None,None,None,73162,76252.9,None,None
"Cincinnati, OH-KY-IN",11,"  Agriculture, forestry, fishing, and hunting",None,None,None,None,None,None,134,75.3,58.1,None,77.6
"Cincinnati, OH-KY-IN",21,"  Mining, quarrying, and oil and gas extraction",None,None,None,None,None,None,149.6,205.7,None,None,None
"Cincinnati, OH-KY-IN",22,  Utilities,None,None,None,None,None,None,1830.5,1621.1,1372.2,1399,1457.4
"Cincinnati, OH-KY-IN",23,  Construction,None,None,None,None,None,None,3672.5,3846.5,4070.7,4309.6,None
"Cincinnati, OH-KY-IN",31-33,  Manufacturing,None,None,None,None,None,None,16449.4,18266.5,None,19519.8,19325.9
"Cincinnati, OH-KY-IN",42,  Wholesale trade,None,None,None,None,None,None,9215.7,9401.9,9669.8,9793.6,10124.6
"Cincinnati, OH-KY-IN",44-45,  Retail trade,6334.1,6000.9,5828.6,5796.4,5847.4,5834.5,6011.7,6185.1,6551,6681.3,6974.9
"Cincinnati, OH-KY-IN",48-49,  Transportation and warehousing,None,None,None,None,None,None,3122.6,3275.9,3632.8,3799.8,3889.4
"Cincinnati, OH-KY-IN",51,  Information,None,None,None,None,None,None,8514.1,4905.3,4097.8,4052.9,4116.1
"Cincinnati, OH-KY-IN","52, 53","  Finance, insurance, real estate, rental, and leasing",19192,18949.8,20014.5,21058.3,22192.2,22444.3,21948.8,22293.4,23266.4,None,None
"Cincinnati, OH-KY-IN",52,   Finance and insurance,None,None,None,None,None,None,9019.9,9719.5,10392.4,10577.4,None
"Cincinnati, OH-KY-IN",53,   Real estate and rental and leasing,None,None,None,None,None,None,12966,12547.6,12813.1,None,14209.8
"Cincinnati, OH-KY-IN","54, 55, 56",  Professional and business services,14591.2,15251.6,14101.3,14674.1,15458.9,16786.6,None,None,None,16408.4,16310.5
"Cincinnati, OH-KY-IN",54,"   Professional, scientific, and technical services",None,None,None,None,None,None,None,None,6568.8,None,6676.6
"Cincinnati, OH-KY-IN",55,   Management of companies and enterprises,None,None,None,None,None,None,None,None,None,None,5963.6
"Cincinnati, OH-KY-IN",56,   Administrative and support and waste management and remediation services,None,None,None,None,3262.4,None,3621.5,3733.2,3833.3,3436.3,3620.9
"Cincinnati, OH-KY-IN","61, 62","  Educational services, health care, and social assistance",8575.1,8866,8863.1,8775.6,8839,8987.2,9217.8,9419,9692.5,9645.8,9869.1
"Cincinnati, OH-KY-IN",61,   Educational services,None,None,None,None,None,None,632.2,615.5,611.5,625.9,618.8
"Cincinnati, OH-KY-IN",62,   Health care and social assistance,None,None,None,None,None,None,8589.5,8809.6,9089.3,9026.4,9259.4
"Cincinnati, OH-KY-IN","71, 72","  Arts, entertainment, recreation, accommodation, and food services",4401.7,4139.7,3740,3830.8,3817.7,3767.8,None,None,None,None,4486.4
"Cincinnati, OH-KY-IN",71,"   Arts, entertainment, and recreation",None,None,None,None,None,None,None,None,None,None,1483.9
"Cincinnati, OH-KY-IN",72,   Accommodation and food services,None,None,None,None,None,None,2642.9,2833.1,2909.4,2923,3000.9
"Cincinnati, OH-KY-IN",81,  Other services (except government and government enterprises),2275.7,None,2015.9,None,None,None,2013.5,2061.5,None,None,None
"Cincinnati, OH-KY-IN","11, 21",Natural resources and mining,271,265.3,305.8,259.3,256.4,203.3,293.1,273.1,None,298.3,None
"Cincinnati, OH-KY-IN","42, 44-45",Trade,None,None,None,None,None,None,15231.5,15590.5,16222.2,16475.8,17099.1
