,GeoName,IndustryClassification,Description,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
3268,"San Diego-Carlsbad, CA","52, 53","  Finance, insurance, real estate, rental, and leasing",41825.2,41194.2,40856.6,40174.6,43780.9,43340.1,44780.9,43165.1,40241.9,43737.6,42976.4
3269,"San Diego-Carlsbad, CA",52,   Finance and insurance,6813.7,5889.7,7096.4,6370.8,6314.3,6729.9,6825.2,6646.6,6653.5,6418.3,6339.1
3274,"San Diego-Carlsbad, CA",53,   Real estate and rental and leasing,34988.9,35376.4,33760.3,33818.0,37515.5,36623.6,37982.4,36535.5,33532.9,37409.3,36719.2
3277,"San Diego-Carlsbad, CA","54, 55, 56",  Professional and business services,22514.1,25702.0,24117.5,24543.1,25768.8,26309.5,27694.3,28715.2,28976.7,28952.9,28559.8
3278,"San Diego-Carlsbad, CA",54,"   Professional, scientific, and technical services",15378.5,18660.0,17622.9,17321.9,17976.7,18015.7,19452.6,19796.5,20361.8,19712.2,19173.8
3279,"San Diego-Carlsbad, CA",55,   Management of companies and enterprises,1735.2,1578.5,1550.5,2217.4,2482.1,2938.0,3288.8,3791.0,3321.2,3237.6,3122.7
3280,"San Diego-Carlsbad, CA",56,   Administrative and support and waste management and remediation services,5404.4,5462.5,4944.1,5004.9,5313.8,5364.6,4942.9,5136.2,5270.6,5975.3,6226.0
3283,"San Diego-Carlsbad, CA","61, 62","  Educational services, health care, and social assistance",9162.8,9897.5,10324.6,10537.2,11095.9,11393.8,11591.3,11985.8,12494.3,12921.1,13424.2
3284,"San Diego-Carlsbad, CA",61,   Educational services,1287.7,1408.2,1580.9,1600.9,1659.0,1848.6,1792.1,1827.0,1728.6,1706.8,1652.7
3285,"San Diego-Carlsbad, CA",62,   Health care and social assistance,7874.6,8489.0,8743.6,8936.3,9437.2,9541.5,9799.9,10161.4,10785.0,11243.4,11816.9
3289,"San Diego-Carlsbad, CA","71, 72","  Arts, entertainment, recreation, accommodation, and food services",7611.3,7056.2,6858.7,7018.8,7111.5,6721.1,7163.6,7869.7,8437.4,8684.1,8832.2
3290,"San Diego-Carlsbad, CA",71,"   Arts, entertainment, and recreation",1517.0,1666.5,1535.0,1558.8,1592.7,1610.2,1882.2,2041.1,2222.8,2275.3,2224.7
3293,"San Diego-Carlsbad, CA",72,   Accommodation and food services,6099.9,5388.9,5323.7,5460.0,5518.8,5111.5,5284.9,5831.7,6218.9,6412.8,6607.7
3296,"San Diego-Carlsbad, CA",81,  Other services (except government and government enterprises),4050.8,3809.8,3615.3,3588.2,3579.6,3588.8,3494.4,3641.0,3711.9,3767.8,3747.7
3301,"San Diego-Carlsbad, CA","11, 21",Natural resources and mining,711.7,668.3,828.8,799.2,526.3,535.8,567.2,524.4,468.4,505.8,474.1
3302,"San Diego-Carlsbad, CA","42, 44-45",Trade,18583.3,17745.4,15197.9,15844.2,16674.5,17352.6,17735.0,18492.5,18750.4,19120.6,21549.6
3308,"San Francisco-Oakland-Hayward, CA",11,"  Agriculture, forestry, fishing, and hunting",282.3,,,,248.7,,,,,,
3311,"San Francisco-Oakland-Hayward, CA",21,"  Mining, quarrying, and oil and gas extraction",5173.9,,,,2186.0,,,,,,
3315,"San Francisco-Oakland-Hayward, CA",22,  Utilities,,,,,,5049.7,5468.9,,,,
3316,"San Francisco-Oakland-Hayward, CA",23,  Construction,14404.6,13668.7,11391.0,10276.7,10974.6,11558.1,12821.3,13039.7,14372.5,14964.9,15424.3
3317,"San Francisco-Oakland-Hayward, CA",31-33,  Manufacturing,38922.1,50262.2,47310.5,37040.8,28505.8,28833.6,31783.8,32723.9,34417.4,38292.1,38882.1
3339,"San Francisco-Oakland-Hayward, CA",42,  Wholesale trade,,,13497.2,13686.0,14472.5,14631.5,15487.5,17033.8,18798.0,19549.4,20690.5
3340,"San Francisco-Oakland-Hayward, CA",44-45,  Retail trade,18688.2,17107.5,15793.5,16637.3,16697.3,17524.9,18463.2,19157.8,20060.3,20380.0,21793.8
3341,"San Francisco-Oakland-Hayward, CA",48-49,  Transportation and warehousing,,,,,,8404.3,8851.3,,,,
3350,"San Francisco-Oakland-Hayward, CA",51,  Information,23444.9,23515.0,22208.0,23374.0,23740.7,25718.7,32264.4,33226.5,39019.1,46497.9,49876.6
3355,"San Francisco-Oakland-Hayward, CA","52, 53","  Finance, insurance, real estate, rental, and leasing",79745.8,75981.9,76584.4,74773.7,75837.6,75920.4,78252.3,84579.8,85494.1,87690.6,89587.4
3356,"San Francisco-Oakland-Hayward, CA",52,   Finance and insurance,24330.3,19765.5,24480.0,22181.9,21628.6,23107.5,20882.2,24116.7,24020.8,24314.3,25420.9
3361,"San Francisco-Oakland-Hayward, CA",53,   Real estate and rental and leasing,55280.4,56473.5,52104.4,52631.7,54298.2,52785.8,57678.5,60553.8,61634.6,63612.9,64268.3
3364,"San Francisco-Oakland-Hayward, CA","54, 55, 56",  Professional and business services,55618.4,60080.6,55287.7,57012.1,61879.6,73975.6,69515.9,75575.8,80762.7,83857.8,87728.1
3365,"San Francisco-Oakland-Hayward, CA",54,"   Professional, scientific, and technical services",37372.4,41823.2,38720.5,39309.1,42867.9,54286.3,47923.1,52489.2,56970.3,59206.3,61670.5
