Date,Atlanta,Boston,Charlotte,Chicago,Cleveland,Dallas,Denver,Detroit,Las Vegas,Los Angeles,Miami,Minneapolis,New York,Phoenix,Portland,San Diego,San Francisco,Seattle,Tampa,Washington
2003-09-01,117.7235736,154.6071178,108.6028426,133.2857866,115.0938137,114.3904665,125.8291732,118.1291387,132.6996343,163.5882695,157.0674689,145.873795,156.3630774,123.0430445,119.4521392,173.1511639,149.6370252,121.698574,141.8645329,159.2560088
2003-10-01,118.0287122,155.9019466,109.9611269,134.4469973,115.731234,114.5054252,126.2980919,118.7979524,135.7037992,167.0564728,159.0842352,146.9700151,157.9770427,123.9063458,120.3382422,177.1534868,151.5501112,122.8347071,143.2851736,161.6939611
2003-11-01,118.4450642,157.6826637,110.6135474,135.6524858,116.1573076,114.6268761,126.7962001,119.1139536,138.7973821,170.7570562,160.7538497,148.0428769,160.016704,124.9745511,121.404939,181.1123621,153.7302547,123.5199509,144.8763966,164.1649903
2003-12-01,118.6938528,159.3033907,111.1991567,137.0408898,116.3668446,114.4252652,127.2640994,119.4409567,143.07711,174.7845801,162.6049156,148.7533492,161.8950573,126.2474472,122.3851473,185.0452318,155.987269,124.835054,145.2327223,166.5218951
2004-01-01,119.2967149,160.5725806,110.4945397,138.0252898,116.4626837,114.9338685,128.0829344,119.7727251,147.2386863,178.7737389,164.8300539,150.000165,163.6433148,127.2893386,123.1392398,188.629565,157.8431182,125.5832468,147.9990272,169.5353069
2004-02-01,119.5742772,161.9872411,110.7106032,138.762427,116.8527457,115.3652946,128.6404447,120.0050232,151.6328173,182.9149348,167.0463284,151.2615499,165.450558,128.3973969,123.921481,192.6708924,159.953915,126.5822926,149.5132166,171.7954769
2004-03-01,120.1514885,163.2534281,111.2827667,139.6106449,117.0965475,114.4899221,129.250025,120.9502572,159.8350209,188.7866647,170.3128292,152.7939438,167.4792241,129.6369834,124.1830069,199.0584848,162.2126999,127.5261097,152.6687943,174.6481829
2004-04-01,120.865726,165.5316551,112.0880647,140.171054,118.0140291,114.7124351,129.290297,121.378221,167.5099133,194.5002795,173.1014405,154.4437702,169.1395565,130.9273204,125.6818343,204.9232004,164.5344875,128.5972053,153.2278902,177.8454612
2004-05-01,120.940636,166.1746229,112.51888,141.4729686,117.8811206,115.1533627,129.3119789,122.1673795,175.4259349,199.7377546,176.56028,154.9312772,171.1441538,132.4655356,126.6213258,211.083906,166.7999644,129.8798311,155.3634215,182.0081026
2004-06-01,120.8948463,167.516776,112.6199919,142.3152625,117.9203598,115.4998657,129.8435554,121.8042922,185.0012012,205.2786512,179.8376502,156.2315891,173.3475405,133.9242131,127.5131645,216.7246103,169.8353093,131.0946829,157.8340331,186.7273482
