DATE,Atlanta,Boston,Charlotte,Chicago,Cleveland,Dallas-Fort Worth,Denver,Detroit,Las Vegas,Los Angeles,Miami-Fort Lauderdale,Minneapolis-St. Paul,New York City,Phoenix,Portland,San Diego,San Francisco Bay Area,Seattle,Tampa Bay Area,Washington
2011-05-01,102.545555108484,151.17932493306802,111.43656716631399,113.80966833912599,98.928720022849,113.682657459766,123.77923226500401,67.178298833873,96.061452530758,169.203262339331,139.254342617045,110.865309351772,166.837785890649,100.769330197232,134.296058212272,154.771661876171,133.19367264883002,135.59980351955798,127.286740009113,180.580266355402
2011-06-01,101.947528357807,152.328043772039,112.100331348348,114.3694906035,98.768052333836,113.960920336021,124.155476297435,69.458029868244,95.690847422983,168.559892707389,139.438238786516,111.823248402078,166.285627619149,100.33137190534201,133.202998667013,154.014517673602,132.546524488895,135.325469528481,127.401558031024,180.61598374785598
2011-07-01,101.204741153141,152.159762440657,111.767782334295,114.48101192168801,99.19975830718701,114.385690352459,123.559753612864,71.256530291286,95.182023686094,167.96240740420902,139.622452184097,112.844760882371,167.040860505811,99.660799375431,133.313439906482,153.125818287214,131.929725907363,134.740365769509,127.361681120905,181.668558347826
2011-08-01,98.65689841698799,151.786829169752,111.604386234662,114.857019021889,99.09986514547,114.771610443963,123.815371598399,71.295411037062,94.342996476035,166.922148834189,139.008048747003,112.18752988608802,166.688960849689,99.337203411717,133.346601293958,152.739178170417,131.88677547933202,134.45477769509,127.441585048172,181.804091547914
2011-09-01,93.88192109840901,151.607852112907,111.629130187383,114.36206758241998,99.043004470613,114.912940748159,123.739248756374,71.810012117028,92.973783850091,165.730055238837,138.564427828223,112.166656832851,166.951665587173,99.39429338254101,134.08557449707502,151.98406177574,131.005647275573,133.543310428446,125.550848509198,182.931666268195
2011-10-01,90.68369371318501,151.60865011406202,111.274941954201,113.659115364243,98.936438285029,114.953530251005,124.379779540098,71.202891963572,91.57016444029199,164.28397383606,137.81958162547198,111.944016921117,165.138758908038,99.72801203708401,133.936413541043,151.857590669882,131.16168190054302,133.127052737457,125.789523444909,181.273338276111
2011-11-01,89.69634577547899,150.81019476439698,110.644624063379,111.74038400197901,98.91303495555799,114.48556693216999,124.729792876764,71.136868589509,91.044748518991,163.614969768648,137.171538125907,112.256734345646,164.308905598022,100.510814293101,132.996292432862,151.29616752928,129.803026974811,132.491200302328,125.215160441863,181.146062744169
2011-12-01,88.58853885125099,149.827365616263,110.22436033367201,110.809252491258,98.499031273064,114.476794024926,124.67971544408998,70.400761707191,90.74977787973101,162.80600441261,137.740043445567,112.11718229035802,162.980855600321,101.913656209765,133.444372979247,151.398223620894,129.868018311432,132.440889701842,125.61719689433399,179.793757000723
2012-01-01,87.32076325668899,149.913230966189,109.96659712295299,110.182015086609,97.319981988229,114.73927438153,125.11268394592899,70.92144013832599,90.52152618076201,162.45957981969102,139.08825711625798,112.968090360707,162.100623577059,103.62958690122,132.391025109141,150.90887785481502,128.628244964356,133.233403824507,125.62070358321199,180.07575350588505
2012-02-01,85.865330255028,149.585969360998,110.51838223152299,109.10727180982599,96.966800073941,115.202253551426,124.829714162242,71.202637656709,90.691357129602,162.118642731567,140.73823010876302,113.94340195249399,161.134327690163,105.399766325151,132.526179148581,151.450319007214,129.213554840371,132.882387594079,126.258995079727,178.565142781261
