DATE,MIXRSA,MNXRSA,NYXRSA,PHXRSA,POXRSA,SDXRSA,SFXRSA,SEXRSA,TPXRSA,WDXRSA
2005-10-01,255.871094165111,166.907673139196,206.680270188596,213.618337091728,159.079195610209,247.71349002224997,214.124884034829,159.833551898631,217.891192979874,243.767787833594
2005-11-01,259.92168073945203,168.286298218246,209.322493772464,217.410949928385,161.77485020854,249.54641316616198,215.514549646753,162.482697327182,222.57527519869302,246.220391077514
2005-12-01,263.939823462359,169.329250901002,212.05360073531998,220.177738499931,164.233913457893,249.869123582787,216.413585752353,164.827316847737,226.00240304792098,248.43785662484402
2006-01-01,267.969005399016,170.122661972482,213.50600802020801,223.011197719996,167.103238534913,250.574142399065,217.401921379317,167.42005717976002,229.523359723628,250.272527940886
2006-02-01,272.032629267887,171.45293448330798,215.05542536586003,225.25387882571,169.67509757901001,251.376981861275,218.821084801512,169.473661769589,232.284943068078,252.022566850558
2006-03-01,275.076444358841,172.25408427918097,215.71961479497102,226.485673713386,172.57717999639198,251.69169372706799,219.294893154948,171.797593352755,235.97768944549802,252.81704175009602
2006-04-01,278.153842644192,173.757826539504,216.43849171807997,227.778635672373,174.060990372148,251.32256532761699,218.821971556535,173.088951698736,237.947898526363,252.290973290517
2006-05-01,279.695857259689,172.818591115933,216.61926879913298,228.06044179151903,175.362431259451,249.662221741895,218.02448704944598,174.69023357136,239.003945477571,251.193039329895
2006-06-01,279.209490943025,171.445416062593,216.19530004170102,227.54056657323997,176.721579830572,247.919067705965,216.54687447642502,176.537417477622,237.964951340863,249.326800586799
2006-07-01,278.468911247985,169.281094726343,215.05042843993698,226.094232379569,177.74361366597802,246.01307488287898,214.98430380798197,178.27831154520803,236.936972144945,247.060007147259
2006-08-01,276.037551126547,168.374271508737,213.097443959877,224.50579656276298,178.885210312172,244.124643526486,214.310101945581,179.768781274787,235.46860995888198,244.41498314573997
