DATE,ATXRSA,BOXRSA,CRXRSA,CHXRSA,CEXRSA,DAXRSA,DNXRSA,DEXRSA,LVXRSA,LXXRSA
2001-01-01,107.072558925942,118.83763387206899,103.53710115793501,108.92284730122299,104.537838424518,107.237404851322,115.50553159620002,107.32720792647899,105.770106079751,112.031476594084
2001-02-01,107.431199169613,120.40670417941601,103.87156465505801,109.520926915841,104.85151093671301,108.376346931634,116.880377433081,107.50492309366899,106.171489157145,112.902899140397
2001-03-01,107.81806840927901,121.556143918908,104.002509646063,110.357389193269,104.967130320319,109.08330516216,117.23878811753599,108.04108106382401,106.985616427162,114.17849687867701
2001-04-01,108.354885446442,122.739599751768,103.868714363354,111.288585419928,104.78175416334899,109.900305332638,118.52007732501998,108.39036963567301,107.947674381151,114.63679583767201
2001-05-01,108.647883716565,123.177644399592,104.220203460211,112.087050533178,105.25180971646,110.05757944674299,119.253031128152,108.849526618759,108.742713114284,115.25738870961901
2001-06-01,109.30600941272101,124.43970593440001,104.32331814930299,113.21637200222601,105.67796769713301,110.48093147029199,119.974090826225,109.14206680763,109.50672398216,115.73461080382098
2001-07-01,109.670454224377,125.601492492236,104.835381234282,114.210723517514,106.475422731523,110.42153717163201,120.390209752853,109.661037804144,110.304526711265,116.37563198870899
2001-08-01,110.191502625257,126.943102901455,104.625698201828,115.251165046755,106.981451933078,110.634010599492,120.96367187208,110.412811842975,110.97285262649599,117.35851938722601
2001-09-01,110.669103964133,128.14611632902,104.73090364099001,116.09537122745701,107.273437333975,110.522944101777,121.505659405292,110.852825896211,111.700745653286,118.340090386896
2001-10-01,111.05437630620001,129.133307045664,104.525855554513,116.52059667770399,107.005525314767,111.20417889822201,121.69787896222999,111.10296389237,112.080117801321,119.315663014443
2001-11-01,111.17622317295499,130.181568581805,104.501182001913,116.804167105559,106.766990677955,111.446054266828,121.641963435488,110.93149159073299,112.969087279277,120.303206225508
2001-12-01,111.29758305495001,130.509505430809,104.609926947546,117.089704630222,106.368935118244,111.993824757428,121.624767194974,111.250946703034,113.51689999587,121.289621420099
2002-01-01,111.669464990087,131.352992642235,104.784846338418,117.50514978483801,106.87688454411699,112.541888194046,122.096946888348,111.468550638624,114.451548211155,122.706506063718
2002-02-01,112.27862244416,131.773561070185,105.263124947934,118.121387451187,107.424832626453,112.74919866842,122.393264976325,112.15283792062901,115.00397138822399,123.989519913297
2002-03-01,112.69657389110701,132.96789377272802,105.606711106933,118.72181118993299,107.973850437024,113.234245962233,123.105988856753,112.33533740480101,115.404569048525,125.456073497947
2002-04-01,112.77556917126999,134.527811299353,106.15414450477199,119.634846987534,108.35725478698299,113.369580976297,123.33212799246,112.32043399283701,115.398712035574,126.85190152150601
2002-05-01,112.940449770758,136.681796185693,106.13937206024,120.339117822512,108.590301927886,113.464970473035,124.008641572405,112.818003591442,115.8738384449,128.691984658091
2002-06-01,113.25315526896699,138.771836705598,106.208135899986,121.05323881492201,109.149142700264,113.190298098791,124.254679916471,113.37689182016199,116.33821590305901,130.772304006313
2002-07-01,113.667499703935,140.54156921611602,106.15260741527399,121.859730883593,109.457089830964,113.179392588179,124.676046333512,114.032652769163,116.82683695052499,132.8587155545
2002-08-01,114.022845334081,142.307950723029,106.73270298951599,122.634899038742,109.488069962283,113.562629647803,124.61101466115299,114.545459569142,117.27266948799601,135.085219535517
2002-09-01,114.169981306024,144.203169405311,107.055965171896,123.48355659707799,109.41307625949301,113.74062446192801,124.666949295952,114.79711747000299,117.804495107479,137.23673584910298
2002-10-01,114.60005761488001,145.848417003793,107.310207602802,124.350920870956,109.582430236483,113.86469094118,125.00025992951299,114.87789112561899,119.161661772481,139.723111522871
2002-11-01,114.927040765504,147.409309339067,107.34090972232,125.316702972705,109.766234257829,113.855560618762,125.555002722076,115.52709804282401,120.601086228799,141.824382257513
2002-12-01,115.25941651481001,147.858313063188,107.715793810541,126.36620915315001,110.226616916553,114.19276326625601,125.712032589266,115.606838477083,122.00577901876301,143.982059727436
2003-01-01,115.654662261603,148.524537192724,108.37747553590799,127.22237664297701,110.89230122193001,114.714039323916,125.619507395071,115.704200748782,122.913806423476,145.75239660482902
2003-02-01,115.95719011256,149.697827508163,108.754205210706,128.211178403567,111.701107336369,114.823502935025,125.59866030338101,115.34375029160101,123.748584842159,147.308751631432
2003-03-01,116.683116347873,150.972870621007,108.43354431230401,129.485520405946,112.046563215711,113.95603065263501,126.111029588749,116.17070209970899,124.33111362482,148.881737141201
2003-04-01,116.601465621443,151.641815152721,107.984573121353,129.782834432312,112.59568162353999,113.58067339527,125.915754471733,117.11937413993601,125.287857967626,150.485562924537
2003-05-01,116.85559807443701,151.87900048387,107.713792378246,130.528971621274,112.977211137061,113.62698766428001,125.777565268892,118.107715173338,125.97029743856301,152.288286187441
2003-06-01,116.821561068729,152.37873656337499,108.03615796930299,131.022710552545,113.359426374371,114.15459162917601,125.080527004357,117.83907507424999,126.94352413142201,154.062878075259
2003-07-01,117.036785621513,152.892004626002,108.15014966635201,131.698925564923,113.793352520299,114.34582069084401,125.16451184969401,117.794580316295,128.357018264631,157.016135251101
2003-08-01,117.321486277522,153.564711921852,108.668111470926,132.194719959861,114.41476412136801,114.363469309934,125.59747204285601,117.831859716644,130.435388007451,160.10467118328899
2003-09-01,117.723573638006,154.607117750055,108.602842568344,133.285786599279,115.093813660937,114.390466450562,125.829173150001,118.129138727825,132.699634342547,163.588269514111
2003-10-01,118.028712227837,155.901946636135,109.96112694881799,134.44699729183202,115.731234009767,114.50542522408199,126.298091940355,118.79795244798201,135.703799193491,167.056472805739
